ncalls	Leaf	Root	StemLitter	LeafN	LeafLitter	RhizomeLitter	cws2	rhizome_senescence_index	DVI	doy	Stem	GrossAssim	year	RootLitter	StomataWS	hour	solar	temp	newStemcol	rh	windspeed	Grain	up_solar	kSeneLeaf	netsolar	kSeneStem	TTc	dw_solar	doy_dbl	kLeaf	precip	soil_water_content	kStem	canopy_assimilation_rate	soil_sand_content	vmax	soil_saturated_conductivity	lai	soil_wilting_point	soil_field_capacity	alpha	kRhizome	soil_saturation_capacity	soil_air_entry	development_rate_per_hour	kGrain	soil_silt_content	newLeafcol	cws1	day_length	kSeneRhizome	Rhizome	kRoot	canopy_transpiration_rate	soil_clay_content	LeafWS	soil_b_coefficient	kSeneRoot	newRhizomecol	soil_evaporation_rate	newRootcol	soil_bulk_density	Sp
69419.0	1.0152724142545413	1.6523534309181296	4.788957466696976e-06	2.0	2.5477812638486857e-10	0.0	0.32	0.0	1.0172134643177635	199.0	2.0102974869518557	3.338365569898369e-05	2002.0	0.0	0.9620798236258041	0.0	0.46	21.58	0.0	0.955	1.52	0.00256470313048419	0.0	4.5323880938202814e-12	0.0	2.2607970717217723e-08	670.3212714669382	0.0	199.0	0.4596120755810038	0.116416666666667	0.3154495788350965	0.348599136759878	-0.004805523773080256	0.32	99.0	6.4e-05	3.5534534498908945	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004653035726340526	0.0024688010627664683	0.34	-0.004805523773080256	0.3017983179015694	14.751087513494301	0.0	1e-07	0.18931998659635177	0.008719699531727765	0.34	0.9787459103253329	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0105651130981306	1.6523534309181296	4.834516706273624e-06	2.0	2.593955131471797e-10	0.0	0.32	0.0	1.017680087483004	199.0	2.0102974413926162	4.827844688687625e-05	2002.0	0.0	0.9621708221264145	0.9999999999997726	0.667	21.365	0.0	0.9595	1.97	0.00256470313048419	0.0	4.585164093822137e-12	0.0	2.2717207554824703e-08	670.7940462285915	0.0	199.04166666666666	0.46003035481644167	0.116416666666667	0.31546049865516973	0.34838276999565454	-0.004704017596141306	0.32	99.0	6.4e-05	3.536977895843457	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004652557046696906	0.002489426257539895	0.34	-0.004704017596141306	0.301841995860172	14.751284644894	0.0	1e-07	0.18909744893036395	0.007801957855268302	0.34	0.9787967321798297	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0058726220767356	1.6523534309181296	4.880295516675962e-06	2.0	2.6404493208854723e-10	0.0	0.32	0.0	1.0181456813341256	199.0	2.010297395613806	5.31380641690378e-05	2002.0	0.0	0.9622662978901562	2.0000000000002274	0.736	21.16	0.0	0.96305	1.82	0.00256470313048419	0.005	4.638436173162576e-12	0.0	2.282672948350031e-08	671.265282347423	0.0	199.08333333333334	0.46044765533228016	0.116416666666667	0.31547195574681874	0.3481666850943124	-0.004615302415412269	0.32	99.0	6.4e-05	3.5205541772685747	0.2	0.32	0.0	0.0	0.52	-2.6	0.00046508961963834445	0.0025101753207732442	0.34	-0.004615302415412269	0.30188782341757836	14.751474698181902	0.0	1e-07	0.1888754842526342	0.006956972727319394	0.34	0.9788500554916275	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0012876272532738	1.6523534309181296	4.926294429829243e-06	2.0	2.687267493227526e-10	0.0	0.32	0.0	1.0186104447778845	199.0	2.0102973496148926	4.46036532891565e-05	2002.0	0.0	0.9623627591116053	3.0	0.621	20.58	0.0	0.9547	2.065	0.00256470313048419	0.0	4.692230514371287e-12	0.0	2.293658267024177e-08	671.7180142098088	0.0	199.125	0.4608641542660171	0.116416666666667	0.31548353109339267	0.34795079095952386	-0.004431372031551617	0.32	99.0	6.4e-05	3.5045066953864583	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004640503577587442	0.0025310574666742025	0.34	-0.004431372031551617	0.30193412454216473	14.751632969696901	0.0	1e-07	0.1886539973077848	0.008326947789499281	0.34	0.9789039301658953	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	0.9974273956728248	1.6523535501212545	4.972514039047173e-06	2.0	2.7344312113403885e-10	0.0	0.32	0.0	1.0190737993471912	199.0	2.0102975227656597	0.0005392768807508524	2002.0	0.0	0.9624589803250885	3.9999999999997726	7.59	20.25	0.0	0.9562	1.485	0.002564704758866047	0.66	4.7464828240613546e-12	3.005	2.3046629104939744e-08	672.1493183443032	1.72	199.16666666666666	0.4612793321672663	0.116416666666667	0.31549507763901063	0.3477353577537765	-0.0038241224319607403	0.32	99.0	6.4e-05	3.490995884854887	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004630123890239755	0.0025520468404968293	0.34	-0.0038241224319607403	0.3019803106017464	14.751946602811598	0.0	1e-07	0.18843326323846027	0.007731847401358338	0.34	0.9789576717776974	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	0.996520995151613	1.6523593544940613	5.018955929220634e-06	2.0	2.7820139904384147e-10	0.0	0.32	0.0	1.01953627782947	199.0	2.010308158522916	0.002403252302253306	2002.0	0.0	0.9625543849159195	5.000000000000227	112.03299999999999	20.09	0.0	0.95575	1.305	0.0025647840939177487	10.84	4.801258047586723e-12	40.14	2.3156993950762536e-08	672.5725063175291	45.73	199.20833333333334	0.46169366539255585	0.116416666666667	0.3155065261899104	0.34752013923458097	-0.0019257261710696513	0.32	99.0	6.4e-05	3.4878234830306454	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004620112663827553	0.002573167682394408	0.34	-0.0019257261710696513	0.30202612843858717	14.7545746551507	0.0	1e-07	0.18821302769046877	0.010049183643950103	0.34	0.9790109582591787	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	0.9949133075843944	1.6523252755040811	5.065618709665747e-06	2.0	2.830083392099061e-10	0.0	0.32	0.0	1.0200005161715011	199.0	2.010245394336657	0.0058207392324070165	2002.0	0.0	0.9626476342348251	6.0	473.616	22.195	0.00028983279761712693	0.90705	1.805	0.0025643200851068297	56.175	4.856877443497305e-12	180.365	2.326831029271441e-08	673.0377276557722	228.77	199.25	0.4621095138273323	0.116416666666667	0.315517716108179	0.34730390822892027	0.0008377734836313252	0.32	99.0	6.4e-05	3.4821965765453804	0.2	0.32	0.0	0.0	0.52	-2.6	0.000464459771150224	0.002594542246290616	0.34	0.0003871430972183022	0.30207060637018507	14.7521750409255	0.0	1.0000000000000001e-07	0.1879920356974568	0.07181377770193274	0.34	0.9790630418873993	5.2	0.0	0.0	0.0	0.00015747640505598233	1.35	3.5
69419.0	0.9977086264560246	1.6533807299616088	5.112520135292827e-06	2.0	2.8787337714629794e-10	0.0	0.32	0.0	1.0204577636915155	199.0	2.012187508469424	0.01737863597471287	2002.0	0.0	0.9627216640433356	6.999999999999773	854.059	25.13	0.003909014186618737	0.8042	3.31	0.002578977948735905	92.195	4.9122890807093005e-12	324.79	2.3378473410594974e-08	673.6105003381888	414.785	199.29166666666666	0.4625190385001763	0.116416666666667	0.3155265996852003	0.3470907438876388	0.011316050458822181	0.32	99.0	6.4e-05	3.4919801925960865	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004461708132653844	0.0026157660727141297	0.34	0.0052338887778339135	0.30210627952591745	14.752123190488998	0.0	9.999999999999998e-08	0.1877744515394707	0.43842990950610916	0.34	0.9791043912762843	5.2	0.0	0.0	0.0	0.0021245619471564965	1.35	3.5
69419.0	1.0060484757801456	1.6567622275895402	5.159735039651326e-06	2.0	2.928198659095936e-10	0.0	0.32	0.0	1.0208992573041837	199.0	2.018410100721143	0.03163585695005125	2002.0	0.0	0.9627472722160189	8.000000000000227	1176.726	25.935	0.008551889553510588	0.7532	4.565	0.0026263341113291205	116.295	4.9663913883111296e-12	446.65	2.348533587678143e-08	674.2587085313819	571.97	199.33333333333334	0.4629143941090253	0.116416666666667	0.3155296726659223	0.3468847454512143	0.024778023830559947	0.32	99.0	6.4e-05	3.5211696652305093	0.2	0.32	0.0	0.0	0.52	-2.6	0.00043665026887939993	0.0026364210882584547	0.34	0.011470103888742648	0.3021186394238349	14.752122448631699	0.0	1e-07	0.18756443935150183	1.0468523324967502	0.34	0.9791186948702507	5.2	0.0	0.0	0.0	0.004646774888978521	1.35	3.5
69419.0	1.0205223119388003	1.6626203753087343	5.207361337874897e-06	2.0	2.978766157301209e-10	0.0	0.32	0.0	1.0213282973744435	199.0	2.0291921051019255	0.04290860910489099	2002.0	0.0	0.9627253134826899	9.0	1413.557	26.885	0.012065503033465388	0.66955	1.67	0.002709040354494608	129.215	5.0195384222332886e-12	543.92	2.3589651958409067e-08	674.945689937541	691.85	199.375	0.4632985404755132	0.116416666666667	0.3155270376179228	0.34668438985769046	0.03499051877455902	0.32	99.0	6.4e-05	3.571828091785801	0.2	0.32	0.0	0.0	0.52	-2.6	0.00042284186320302384	0.0026566475395598988	0.34	0.01621105627873424	0.3021081368098989	14.7521224423205	0.0	1e-07	0.18736042212723653	1.489665562262172	0.34	0.9791064296876301	5.2	0.0	0.0	0.0	0.006554781824535006	1.35	3.5
